"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 18:54:25 EET 2023","Wed Mar 15 18:54:25 EET 2023","92","","Alert examples","","","","Cancel alert",""
"passed","Fri Mar 17 01:15:25 EET 2023","Fri Mar 17 01:15:25 EET 2023","1","","Sample","","","","Sample test",""
"broken","Sun Mar 26 19:20:32 EEST 2023","Sun Mar 26 19:20:52 EEST 2023","19315","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Wed Mar 15 18:54:24 EET 2023","Wed Mar 15 18:54:27 EET 2023","2764","","Alert examples","","","","Accept alert",""
"unknown","Fri Mar 31 15:50:41 EEST 2023","Fri Mar 31 15:50:54 EEST 2023","13839","","Calendar selector","","","","simple date picker",""
"passed","Wed Mar 15 18:54:23 EET 2023","Wed Mar 15 18:54:25 EET 2023","2144","","Alert examples","","","","Accept alert",""
"unknown","Fri Mar 17 16:50:19 EET 2023","Fri Mar 17 16:50:21 EET 2023","1692","","Android Element Tests","","","","Find element by accessibility id",""
"passed","Fri Mar 17 13:50:02 EET 2023","Fri Mar 17 13:50:04 EET 2023","2200","","Android Element Tests","","","","Find element by accessibility id",""
"passed","Mon Mar 27 14:27:05 EEST 2023","Mon Mar 27 14:27:08 EEST 2023","2344","","Drag and drop example","","","","Drag and drop",""
"passed","Mon Mar 27 14:47:09 EEST 2023","Mon Mar 27 14:47:12 EEST 2023","3038","","Drag and drop example","","","","Drag and drop",""
"passed","Wed Mar 15 18:54:28 EET 2023","Wed Mar 15 18:54:28 EET 2023","16","","Alert examples","","","","Text in alert",""
"passed","Sun Mar 26 19:28:52 EEST 2023","Sun Mar 26 19:28:54 EEST 2023","2368","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"unknown","Fri Mar 31 15:50:47 EEST 2023","Fri Mar 31 15:50:54 EEST 2023","7428","","Calendar selector","","","","Loop through untill element is presented",""
"unknown","Sat Mar 18 12:54:26 EET 2023","Sat Mar 18 12:54:27 EET 2023","1344","","iOS Demo Test","","","","Find element experimentation",""
"skipped","Fri Mar 31 15:50:46 EEST 2023","Fri Mar 31 15:50:46 EEST 2023","0","","Calendar selector","","","","drop down date picker",""
"passed","Fri Mar 17 10:05:33 EET 2023","Fri Mar 17 10:05:33 EET 2023","2","","Sample","","","","Sample test",""
"unknown","Sun Mar 26 21:37:27 EEST 2023","Sun Mar 26 21:37:27 EEST 2023","28","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Mon Mar 27 14:48:04 EEST 2023","Mon Mar 27 14:48:07 EEST 2023","2376","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:23:13 EEST 2023","Sun Mar 26 19:23:16 EEST 2023","2462","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Sun Mar 26 20:32:16 EEST 2023","Sun Mar 26 20:32:20 EEST 2023","4368","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Mon Mar 27 14:28:08 EEST 2023","Mon Mar 27 14:28:11 EEST 2023","3097","","Drag and drop example","","","","Drag and drop",""
"unknown","Fri Mar 31 15:50:46 EEST 2023","Fri Mar 31 15:50:48 EEST 2023","1969","","Calendar selector","","","","Loop through untill element is presented",""
"broken","Sun Mar 26 20:31:54 EEST 2023","Sun Mar 26 20:31:54 EEST 2023","1","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Fri Mar 17 15:27:36 EET 2023","Fri Mar 17 15:27:36 EET 2023","1","","iOS Demo Test","","","","Find element experimentation",""
"skipped","Fri Mar 31 15:50:47 EEST 2023","Fri Mar 31 15:50:47 EEST 2023","0","","Calendar selector","","","","drop down date picker",""
"passed","Mon Mar 27 14:56:44 EEST 2023","Mon Mar 27 14:56:49 EEST 2023","4769","","Drag and drop example","","","","Drag and drop",""
"passed","Sun Mar 26 20:31:21 EEST 2023","Sun Mar 26 20:31:24 EEST 2023","2582","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Mon Mar 27 14:48:48 EEST 2023","Mon Mar 27 14:48:51 EEST 2023","2634","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:21:24 EEST 2023","Sun Mar 26 19:21:27 EEST 2023","3101","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Sun Mar 26 19:28:22 EEST 2023","Sun Mar 26 19:28:25 EEST 2023","2914","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"unknown","Fri Mar 31 15:50:42 EEST 2023","Fri Mar 31 15:50:48 EEST 2023","6707","","Calendar selector","","","","simple date picker",""
"passed","Sun Mar 26 19:29:16 EEST 2023","Sun Mar 26 19:29:18 EEST 2023","2408","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Mon Mar 27 14:26:19 EEST 2023","Mon Mar 27 14:26:23 EEST 2023","3524","","Drag and drop example","","","","Drag and drop",""
"passed","Wed Mar 15 18:54:26 EET 2023","Wed Mar 15 18:54:26 EET 2023","25","","Alert examples","","","","Text in alert",""
"failed","Mon Mar 27 14:56:49 EEST 2023","Mon Mar 27 14:56:49 EEST 2023","212","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:25:48 EEST 2023","Sun Mar 26 19:25:52 EEST 2023","3731","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Mon Mar 27 14:52:05 EEST 2023","Mon Mar 27 14:52:08 EEST 2023","2370","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:19:57 EEST 2023","Sun Mar 26 19:20:07 EEST 2023","10262","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"broken","Sun Mar 26 19:22:25 EEST 2023","Sun Mar 26 19:22:28 EEST 2023","2906","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"unknown","Sat Mar 18 12:28:42 EET 2023","Sat Mar 18 12:28:44 EET 2023","1724","","Android Element Tests","","","","Find element by accessibility id",""
"passed","Mon Mar 27 14:49:56 EEST 2023","Mon Mar 27 14:49:59 EEST 2023","2919","","Drag and drop example","","","","Drag and drop",""
"passed","Mon Mar 27 14:29:00 EEST 2023","Mon Mar 27 14:29:04 EEST 2023","3297","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:28:35 EEST 2023","Sun Mar 26 19:28:35 EEST 2023","1","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
"passed","Wed Mar 15 18:54:27 EET 2023","Wed Mar 15 18:54:27 EET 2023","17","","Alert examples","","","","Cancel alert",""
"passed","Mon Mar 27 14:25:34 EEST 2023","Mon Mar 27 14:25:37 EEST 2023","2850","","Drag and drop example","","","","Drag and drop",""
"broken","Sun Mar 26 19:25:12 EEST 2023","Sun Mar 26 19:25:15 EEST 2023","2635","","Modal interaction","","","","Wait modal to be displayed and interact with the content of it",""
